skill,demand,avg_salary,demand_norm,salary_norm,skill_score,rank
['python',491,123.37983706720978,1.0,0.291631387445937,0.7166525549783748,1
'machine learning',372,124.4758064516129,0.7566462167689162,0.3189964157706091,0.5815862963695934,2
'statistics',328,126.30030487804878,0.6666666666666666,0.3645519320361742,0.5458207728144696,3
'r',335,124.08805970149254,0.6809815950920245,0.30931484897609335,0.532314896645652,4
'sql',301,125.42857142857143,0.6114519427402862,0.3427858034599608,0.503985487028156,5
'r'],308,123.52597402597402,0.6257668711656442,0.29528025033642996,0.4935722228339585,6
'excel',263,122.40684410646388,0.5337423312883436,0.26733693149722537,0.4271801713718963,7
['deep learning',2,151.75,0.0,1.0,0.4,8
'data analysis',174,126.15517241379311,0.35173824130879344,0.3609281501571313,0.3554142048481286,9
['aws',4,145.125,0.00408997955010225,0.83458177278402,0.33628669684366935,10
'spark',140,124.93928571428572,0.2822085889570552,0.3305689316925272,0.301552726051244,11
'aws',170,120.2235294117647,0.34355828220858897,0.2128222075346991,0.291263852339033,12
'tableau',123,125.78048780487805,0.2474437627811861,0.35157272921043814,0.28909534935288694,13
'git'],128,125.1328125,0.25766871165644173,0.335401061173533,0.28876165146327826,14
['machine learning',46,135.1195652173913,0.08997955010224949,0.5847581827063998,0.28789100314390964,15
'nlp',55,131.5090909090909,0.1083844580777096,0.4946090114629438,0.2628742794318033,16
'tensorflow',103,124.38349514563107,0.2065439672801636,0.3166915142479668,0.2506029860672849,17
'deep learning',95,124.48947368421052,0.1901840490797546,0.3193376700177409,0.24184549745494913,18
'hadoop',58,128.0,0.11451942740286299,0.40699126092384513,0.23150816081125586,19
'hadoop'],85,124.67647058823529,0.16973415132924335,0.3240067562605565,0.23144319330176863,20
'power bi',34,130.60294117647058,0.065439672801636,0.4719835499742966,0.22805722367070025,21
['excel',33,127.01515151515152,0.06339468302658487,0.3824007868951689,0.1909971245740185,22
'numpy',57,123.1842105263158,0.11247443762781185,0.2867468296208687,0.18218339442503462,23
'spark'],49,124.11224489795919,0.09611451942740286,0.30991872404392473,0.18163620127401162,24
'pandas',66,120.6590909090909,0.130879345603272,0.22369765066394268,0.16800666762754027,25
'scikit learn'],57,119.99122807017544,0.11247443762781185,0.20702192434894973,0.15029343231626702,26
'docker'],22,124.11363636363636,0.0408997955010225,0.3099534672568379,0.14852126420334869,27
['r'],23,121.30434782608695,0.04294478527607362,0.2398089344840687,0.12169044495927166,28
'git',19,121.39473684210526,0.034764826175869123,0.24206583875418872,0.11768523120719697,29
['sql',55,115.3,0.1083844580777096,0.08988764044943806,0.10098573102640099,30
['data analysis',7,120.71428571428571,0.010224948875255624,0.22507579810950576,0.09616528856895569,31
'docker',18,114.86111111111111,0.032719836400818,0.07892911638229992,0.051203548393410764,32
['r',6,116.08333333333333,0.0081799591002045,0.10944652517686207,0.04868658553086753,33
['statistics',5,111.7,0.006134969325153374,0.0,0.0036809815950920245,34
